university,policy_type,policy_title,policy_explanation,effective_year
Singapore Management University,Research Policy,Responsible Conduct of Research Policy,"Establishes ethical research standards, responsible data practices, and publication guidelines for researchers and postgraduate scholars.",2024
Nagoya University,Examination Policy,Examination Conduct and Grading Policy,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2022
Thammasat University,Scholarship Policy,International Scholarship Program Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2019
Sorbonne University,International Student Policy,International Mobility and Exchange Policy,"Supports international students through visa guidance, integration programs, and academic assistance.",2022
University of Michigan,Graduate Program Policy,Graduate Thesis and Dissertation Policy,"Establishes guidelines for curriculum structure, credit requirements, and dissertation completion for postgraduate programs.",2021
University of Chicago,Scholarship Policy,Graduate Scholarship Allocation Policy,"Provides regulations governing scholarships, financial aid distribution, and eligibility criteria for funding support.",2021
California Institute of Technology,Examination Policy,Examination Conduct and Grading Policy,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2023
Tohoku University,Academic Integrity Policy,Academic Honesty and Integrity Code,Outlines expectations for academic honesty and provides guidelines to prevent plagiarism and academic misconduct.,2020
University of Cambridge,Attendance Policy,Minimum Attendance Requirement Policy,Defines minimum attendance requirements and participation expectations for successful course completion.,2020
King's College London,Examination Policy,Graduate Assessment and Evaluation Regulations,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2021
University of Michigan,Examination Policy,Examination Conduct and Grading Policy,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2019
University College London,Attendance Policy,Minimum Attendance Requirement Policy,Defines minimum attendance requirements and participation expectations for successful course completion.,2024
University of Michigan,Examination Policy,Graduate Assessment and Evaluation Regulations,"Specifies grading systems, examination procedures, and evaluation standards used to assess student performance.",2022
Ton Duc Thang University,International Student Policy,International Student Support Policy,"Supports international students through visa guidance, integration programs, and academic assistance.",2018
KU Leuven,Student Welfare Policy,Student Grievance Redressal Policy,"Ensures access to counselling, wellbeing resources, and support services for students during their academic journey.",2023
